Nom;taux_distribution;minimum_souscription;localisation;secteurs;prix_part;capitalisation;Gerant;frais_souscription;frais_gestion;delai_jouissance;frequence_loyers;valeur_reconstitution;iban;bic;decote_demembrement;demembrement;cashback;versement_programme;publicite
Transitions Europe;8.16;5000;Pays-bas,47,Espagne,24,Irlande,12,Pologne,11,Allemagne,6;Bureaux,46,Hotels,18,Logistique,9,Sante,18,Commerce,9;200,200,200;289000000;Arkea REIM;10;10;5;Trimestrielle;205.37,208.35,199.95;FR76 12345 67890 12345678901 12;ABCDFRPP;3,90,4,85,5,80,7,75,10,70,12,65,15,60,20,55,25,50;Oui;5;Non;Nous recommandons vivement cette SCPI qui, grâce à une diversification optimale, a su générer un rendement de plus de 8% sur les trois derniéres années
Elevation Tertiom;8;2850;France,100;Autre,100;190;;Elevation Capital Partners;0;24;4;Mensuelle;190;FR76 23456 78901 23456789012 34;EFGHFRXX;3,93,4,88,5,83,7,78,10,73,12,68,15,63,20,58,25,53;Oui;0;Non;Cette SCPI peut-être intéressante compte tenu du momentum favorable aux jeunes SCPI à 0 frais de souscription
Upéka;8;1000;Pays-bas,56,Espagne,25,France,19;Commerces,44,Bureaux,29,Logistique,27;200;22000000;Axipit;0;16;4;Trimestrielle;192;FR76 34567 89012 34567890123 56;IJKLFRZZ;3,92,4,87,5,82,7,77,10,72,12,67,15,62,20,57,25,52;Oui;0;Non;"Upeka est une trés jeune SCPI qui bénéficie des opportunités de marché, ses premières acquisitions projettent une rentabilité supérieure à 8% sur 2024. Nous vous la recommandons, car ses premiers actifts sont 100% loués"
Comète;8;5000;Italie,44,Pays-bas,44,Espagne,12;Autre,56,Bureaux,44;250;49200000;;10;11;5;Trimestrielle;250;FR76 45678 90123 45678901234 78;MNOPFRYY;3,91,4,86,5,81,7,76,10,71,12,66,15,61,20,56,25,51;Oui;4;Oui;Compte tenu de la solide gestion de cette SCPI et de son portefeuille d'actifs diversifiés, nous estimons un potentiel de rendement supérieur à 8% pour 2024
Remake Live;7.79;1020;France,37,Espagne,20,Allemagne,43;Bureaux,50.46,Logistique,16.9,Sante,15.63,Commerces,12.73,Reste,4.29;204;521000000;Remake;0;18;3;Mensuelle;203.8;FR76 56789 01234 56789012345 90;QRSTFRAA;3,87,4,82,5,77,7,72,10,67,12,62,15,57,20,52,25,47;Oui;0;Oui;Compte tenu de la performance de la SCPI sur les deux derniéres années respectivement 7,64% et 7,79% et de la diversification géographique et sectorielle qu'elle propose, nous recommandons fortement cette SCPI
Iroko Zen;7.12;5000;France,45,Espagne,13,Pays-Bas,11,Irlande,18,Allemagane,11,Gde Bretagne,2;Bureau,32,Locaux,23,Sante,8,Commerces,27,Logistique,10;202;6294000000;Iroko;0;14.4;3;Mensuelle;202;FR76 67890 12345 67890123456 01;UVWXFRBB;3,89,4,84,5,79,7,74,10,69,12,64,15,59,20,54,25,49;Oui;0;Oui;"Nous recommandons fortement la SCPI Iroko Zen compte tenu de son excellente diversification géographique et sectorielle. Elle a en plus réussi a distribuer plus de 7% sur les trois derniéres années"
Osmo Energie;7;300;France,100;Commerces,100;300;21000000;Mata Capital;12;10.8;5;Mensuelle;300;FR76 78901 23456 78901234567 23;YZABFRCC;3,88,4,83,5,78,7,73,10,68,12,63,15,58,20,53,25,48;Oui;2;Non;Cette SCPI est particuliérement attrayante grâce à ses investissements dans des secteurs porteurs et son rendement attendu de 7,6% sur les deux prochaines années
Sofidynamic;7;900;France,100;Autre,100;300;;Sofidy;12;12;5;Trimestrielle;300;FR76 89012 34567 89012345678 45;CDEFFRDD;;Non;0;Non;Cette SCPI affiche une performance constante avec un rendement moyen de 7% et une exposition stratégique à des marchés en forte croissance
Wemo One;7;1000;France,85,Espagne,15;Commerces,55,Bureaux,45;200;7000000;Wemo Reim;10;11;6;Trimestrielle;200;FR76 90123 45678 90123456789 67;GHIJFREE;3,87,4,82,5,77,7,72,10,67,12,62,15,57,20,52,25,47;Oui;0;Non;La SCPI bénéficie d'un excellent timing, avec des acquisitions récentes promettant un rendement net supérieur à 7,5% dés 2025
Novaxia NEO;6.51;187;France,56,Pays-Bas,29,Irlande,7,Espagne,6,Allemagne,2;Bureaux,95,Hotel,2,Locaux,2,Autre,1;187;42300000;Novaxia Investissement;0;18;3;Mensuelle;188.23,186.19,193.21,193.83;FR76 01234 56789 01234567890 89;KLMNFRFF;3,92,4,87,5,82,7,77,10,72,12,67,15,62,20,57,25,52;Oui;3;Non;Nous avons un avis neutre sur cette SCPI
Epargne Pierre Europe;6.26;6000;Espagne,78,Pays-Bas,22;Commerces,37,Bureaux,21,Locaux,42;200;161000000;Atland Voisin;10;12;5;Trimestrielle;202.66,204.09;FR76 13579 24680 12345678901 12;OPQRFRAA;;Non;2;Non;Grâce à une gestion performante et un portefeuille d'actifs entiérement loués, cette SCPI présente un rendement attractif plus de 6% pour l'année à venir
Epsilon 360;6.25;1008;France,100;Commerces,49,Autre,28,Bureaux,14,Locaux,9;252;108000000;Epsicap REIM;5.75;12;4;Mensuelle;272.65,273.92,272.55,254.85,254.84;FR76 24680 13579 23456789012 34;STUVFRXX;3,93,4,88,5,83,7,78,10,73,12,68,15,63,20,58,25,53;Oui;0;Oui;Nous recommandons fortement cette SCPI dont les premiers investissements dans le secteur de la santé projettent un rendement de 6,2% sur 2024
Log In;6.21;1000;Espagne,38,Gde Bretagne,29,Italie,24,Allemagne,9;Locaux,67,Logistique,33;250;136000000;Theoreim;10;12;5;Trimestrielle;259.69,257.54,254.37,251;FR76 98765 43210 34567890123 56;WXYZFRZZ;3,90,4,85,5,80,7,75,10,70,12,65,15,60,20,55,25,50;Oui;2;Oui;Cette SCPI, avec un portefeuille diversifié dans les bureaux et commerces, affiche une prévision de rendement plus de 6%, ce qui en fait un excellent choix pour 2024
Coeur de Regions;6.2;2656;France,100;Bureaux,50,Commerces,29,Locaux,20,Autre,1;664;356000000;Sogenial;12;12;5;Trimestrielle;683.32,680,691.75,685.31,650.24,654.92;FR76 54321 67890 45678901234 78;ABCDFRYY;3,91,4,86,5,81,7,76,10,71,12,66,15,61,20,56,25,51;Oui;0;Non;Grâce à sa stratégie d'acquisitions dans les grandes m�tropoles européennes, cette SCPI vise un rendement plus de 6%, ce qui la rend particuli�rement intéressante en ce moment
EDR Europa;6;5000;Pays-bas,100;Logistique,100;200;13400000;EDR REIM;10;10.5;5;Trimestrielle;200;FR76 67890 54321 56789012345 90;EFGHFRAA;3,87,4,82,5,77,7,72,10,67,12,62,15,57,20,52,25,47;Oui;0;Non;Cette SCPI innovante a réussi à capter des opportunités de marché exceptionnelles, lui permettant de viser un rendement plus de 6% sur les deux prochaines années
Mistral Selection;6;180;France,100;Commerces,100;180;;SwissLife;0;16.5;4;Trimestrielle;180;FR76 89012 67890 67890123456 01;IJKLFRBB;;Non;3;Non;Nous recommandons cette toute jeune SCPI compte tenu de l'environnement de marché et de sa société de gestion reconnue Swisslife.
Coeur d'Europe;5.93,6,10.5;2000;Allemagne,6.3,Belgique,30.4,Espagne,40.4,Portugal,22.9;Commerces,46,Locaux d'activite,21,Bureaux,27,Logistique,6;200,200,200,200;134000000;Sogenial;12;10;5;Trimestrielle;212.52,213.41,210.69,210,69;FR76 12345 78901 78901234567 23;MNOPFRCC;3,88,4,83,5,78,7,73,10,68,12,63,15,58,20,53,25,48;Oui;0;Non;Avec une diversification géographique en Europe et un rendement net de 7,8% sur trois ans, cette SCPI est un investissement à considérer sérieusement
Paref Evo;5.80,5.37,4.60;2500;Pologne,100;Bureaux,90,Locaux,10;250,250,250,250,250;43700000;Paref Gestion;10;13.2;5;Trimestrielle;249.98,253.98,247,247,243;FR76 23456 89012 89012345678 45;QRSTFRDD;3,89,4,84,5,79,7,74,10,69,12,64,15,59,20,54,25,49;Oui;0;Non;Cette SCPI bénéficie d'une gestion solide et de l'acquisition récente de nouveaux actifs avec un taux de rendement pr�vu à 6% pour 2025
